y m x
1.666666 0.834275 -0.4096045
4 -0.1657251 -0.4096045
0 -0.1657251 -0.4096045
-0.666667 -0.665725 -0.4096045
1.333333 0.3342749 -0.4096045
2.333334 0.834275 -0.4096045
3.333333 1.000942 -0.4096045
0.333333 0.667608 -0.4096045
1.666667 1.500942 -0.4096045
1.666666 -0.4990581 -0.4096045
0 -1.832392 -0.4096045
-2.666666 -1.665725 -0.4096045
0.666666 -0.3323921 -0.4096045
3 0.834275 -0.4096045
0 -1.832392 -0.4096045
-1 -0.665725 -0.4096045
-0.333333 0.0009419463 -0.4096045
-0.333334 -1.499058 -0.4096045
-0.333333 -0.1657251 -0.4096045
0 0.1676079 -0.4096045
0.333333 0.3342749 -0.4096045
0 -0.3323921 -0.4096045
-0.666667 -0.4990581 -0.4096045
0 -0.832392 -0.4096045
1 -1.165725 -0.4096045
0 0.1676089 -0.4096045
0.333334 -1.165725 -0.4096045
0.333334 -0.665725 -0.4096045
0.666667 -0.1657251 -0.4096045
-0.333333 1.000942 -0.4096045
0.666667 -0.832392 -0.4096045
-0.333333 0.5009419 -0.4096045
0.333333 0.834275 -0.4096045
0.333333 -1.165725 -0.4096045
1.333333 -0.665725 -0.4096045
0 0.3342749 -0.4096045
0.333334 1.834275 -0.4096045
-0.666666 -0.1657251 -0.4096045
0 -0.1657251 -0.4096045
0 -3.165725 -0.4096045
1 0.1676079 -0.4096045
-0.666667 0.0009419463 -0.4096045
0 -0.1657251 -0.4096045
1 -0.665725 -0.4096045
0.666666 0.5009419 -0.4096045
0 -0.1657251 -0.4096045
0 0.667608 -0.4096045
0.666667 -2.332392 -0.4096045
-0.333334 0.834275 -0.4096045
1.333333 -0.665725 -0.4096045
1 -0.832392 -0.4096045
1 0.1676079 -0.4096045
-0.333333 -1.332392 -0.4096045
0.333334 -1.165725 -0.4096045
0 0.3342749 -0.4096045
1.333333 -1.665725 -0.4096045
0.333334 0.0009419463 -0.4096045
2.333333 0.0009419463 -0.4096045
1 0.0009419463 -0.4096045
-0.333333 0.834275 -0.4096045
1.333333 0.667609 -0.4096045
-0.333333 -1.165725 -0.4096045
0 0.834275 -0.4096045
0.666666 0.1676089 -0.4096045
0.666666 -1.165725 -0.4096045
-0.333333 -0.999058 -0.4096045
0 -0.4990581 -0.4096045
-1.333334 -0.3323921 -0.4096045
-0.666667 1.000942 -0.4096045
0.666667 0.1676079 -0.4096045
0 -0.832392 -0.4096045
0.333333 0.5009419 -0.4096045
-0.666667 -0.4990581 -0.4096045
0.333334 -0.832392 -0.4096045
0 0.5009419 -0.4096045
0.666667 -0.1657251 -0.4096045
0 -0.3323921 -0.4096045
-0.666667 1.667608 -0.4096045
-1.666667 0.834275 -0.4096045
0.333333 -0.832391 -0.4096045
0.333333 0.667609 -0.4096045
-3 -1.832392 -0.4096045
0.666667 -1.165725 -0.4096045
-0.666666 -0.1657251 -0.4096045
3 3.167608 -0.4096045
1 -0.1657251 -0.4096045
-0.333333 -0.3323921 -0.4096045
-1.333334 -0.3323911 -0.4096045
1 -0.1657251 -0.4096045
1 0.3342749 -0.4096045
0.333333 -0.832392 -0.4096045
0.333333 1.000942 -0.4096045
1 -0.999058 -0.4096045
0 0.667608 -0.4096045
0.333334 -0.1657251 -0.4096045
0.666667 -0.1657251 -0.4096045
-0.333333 0.5009419 -0.4096045
-1.333334 0.834275 -0.4096045
0 -0.3323921 -0.4096045
-0.666666 1.000942 -0.4096045
0.333334 0.834275 -0.4096045
-0.333333 0.5009419 -0.4096045
-1 -1.332392 -0.4096045
1.666667 -0.1657251 -0.4096045
-1 -0.4990581 -0.4096045
0 -0.4990581 -0.4096045
2.333334 0.1676079 -0.4096045
0.333333 -0.665725 -0.4096045
1.333333 -1.165725 -0.4096045
0 1.167608 -0.4096045
-2 -3.165725 -0.4096045
0 -2.832392 -0.4096045
2 -0.1657251 -0.4096045
0 -3.832391 -0.4096045
0.333333 -0.3323911 -0.4096045
0 0.834275 -0.4096045
1.666667 -0.3323921 -0.4096045
0 -0.4990591 -0.4096045
-0.666667 -0.3323921 -0.4096045
0.333333 0.0009419463 -0.4096045
2 -0.3323911 -0.4096045
0.333333 0.0009419463 -0.4096045
-0.333333 1.334275 -0.4096045
0 -0.999058 -0.4096045
1.666667 1.000942 -0.4096045
-1 -0.1657251 -0.4096045
-0.333333 0.1676079 -0.4096045
-0.333333 -0.1657251 -0.4096045
0 -0.1657251 -0.4096045
1 -1.499058 -0.4096045
-1 1.500942 -0.4096045
1.333334 0.0009419463 -0.4096045
-1.333334 -0.1657251 -0.4096045
1.333333 -0.1657251 -0.4096045
1.333334 0.3342749 -0.4096045
0.333333 -1.165725 -0.4096045
2 0.1676079 -0.4096045
0.333333 -0.1657251 -0.4096045
0.333334 1.000941 -0.4096045
1.666667 -0.1657251 -0.4096045
1 -0.832392 -0.4096045
1.666666 1.000942 -0.4096045
1 -1.165725 -0.4096045
0.333333 -0.1657251 -0.4096045
0 -0.665725 -0.4096045
-0.333333 -0.832391 -0.4096045
1.666667 -2.499058 -0.4096045
1 -0.1657251 -0.4096045
0 -0.832392 -0.4096045
0.333333 -1.332392 -0.4096045
0 0.667608 -0.4096045
1.333333 2.000942 -0.4096045
-0.333334 -0.1657251 -0.4096045
0 0.667608 -0.4096045
0.333333 -0.4990581 -0.4096045
0.666667 0.5009419 -0.4096045
1.666666 0.667608 -0.4096045
1 0.1676079 -0.4096045
-1 -0.4990591 -0.4096045
